Feature/Module,Assigned To,Technical State,Status,Priority,Feedback & Pending Comments,Dev Notes,Last Updated,Deadline
Authentication (Login),,Backend Connected,Buggy (Needs Fix),High,"Everytime the user login, it shows to complete profile","Likely a check in `App.tsx` or `AuthContext` that doesn't persist the 'profile completed' state correctly.",2026-01-20,
Authentication (Login),,Backend Connected,Buggy (Needs Fix),High,"If user signup using Gmail service, then signed up using add email and used the same Gmail. It creates double account for the same email","Enable 'Link identities' in Supabase Auth settings to merge providers with the same email.",2026-01-20,
Event Creation (User Profile),,Logic Related,Buggy (Needs Fix),Normal,"User can create an Event even if no profile created, so better to remove the skip for now from the view where the user needs to fill the name, phone .. And its ok to skip for now in the next screen where the user will be filling business information unless it will be linked anywhere inside event creation","Enforce validation in `EventCreationWizard.tsx` or the initial Profile Modal to prevent proceeding without base info.",2026-01-20,
Event Creation (Waitlist capacity),,Logic Related,Buggy (Needs Fix),Normal,"Waitlist capacity cant be more than the max. attendees, and the field can take any value where it should be only numerical","Add comparison validation: `waitlist <= maxAttendees`. Force input type='number'.",2026-01-20,
Event Creation (Max Attendees),,Logic Related,Buggy (Needs Fix),Normal,"this field should be Numerical only","Strict type checking on the input field.",2026-01-20,
Authentication (Email Verification),,Backend Connected,Not Started,Normal,"Verification emails should be sent from Eventra not from Supabase Auth","Requires SMTP configuration in Supabase or a custom Edge Function to send branded emails.",2026-01-20,
Event Creation (Speakers),,Logic Related,Not Started,Normal,"Adding the experience tags as a list so user can choose from","Implement a multi-select/tags component in `EventSpeakersTab.tsx`.",2026-01-20,
Event Creation (Speakers),,Backend Connected,Buggy (Needs Fix),Normal,"when user clicks to edit the speaker details, the name of the speaker is not shown and the field is empty, speaker's name that was there before the edit should show","Fix the `useEffect` or state initialization in the Edit Modal to correctly load `selectedSpeaker` data.",2026-01-20,
Event Creation (Schedule),,Logic Related,Buggy (Needs Fix),Normal,"Max Capacity should not be more than the max. attendees and the field takes any value where it should be only numerical","Add validation in `EventScheduleTab` to check Session Capacity vs Event Capacity.",2026-01-20,
Event Creation (Schedule),,Logic Related,Buggy (Needs Fix),High,"User can schedule two sessions or workshops in the same venue at the same date and time, where this should not happen. And an attention notification should popup to let the user know that this slot (time) is already scheduled","Implement a conflict detection algorithm in `useSessions.ts` checking (Venue + Time Range).",2026-01-20,
Registration (Ticketing),,Backend Related,Not Started,High,"Payment gateway is missing; paid tickets currently register users for free without charging","Integrate Stripe Elements or PayPal SDK in `EventRegistrationFlow.tsx`. Update DB status upon webhook confirmation.",2026-01-20,
Logistics (Calculators),,External API,Partial,Normal,"Freight and Load calculators are not returning results because the API base URL is unconfigured","Verify the endpoint in `.env` (`VITE_LOGISTICS_API_BASE`). Ensure payload matches external vendor schema.",2026-01-20,
Access Control (RBAC),,Backend Related,Partial,High,"Row Level Security (RLS) in Supabase is too open; users can potentially see or edit data they don't own","Harden Supabase policies specifically for `event_attendees` and `b2b_meetings`. Add `auth.uid() = owner_id` checks.",2026-01-20,
Admin (Reporting),,Logic Related,Not Started,Normal,"Global reporting and cross-event analytics are currently placeholders or mock data","Build an Admin-only view that aggregates `event_tickets` and `registrations` tables across all published events.",2026-01-20,
Event Creation (Design Studio),,Logic Related,Partial,Normal,"The website preview in the Design Studio is only desktop-optimized; users can't see how the event page looks on mobile","Implement a 'Mobile/Desktop' toggle in `PreviewPanel.tsx` that adjusts the iframe/container width.",2026-01-20,
Community (Networking),,Logic Related,Not Started,Normal,"Meeting notifications are sent but there is no 'Accept/Decline' flow for recipients yet","Update `BookMeetingModal` and `UserB2BCenter` to handle status transitions (Pending -> Confirmed/Cancelled).",2026-01-20,